name,level,seed,start_note,end_note,fingers,notes,h_norm,d_m_mean_s,a_h,b_h,o_lr,h_hand
1799551287-β-2,beta,1799551287,48,72,"L1, R5, R5, L2, R3, L5, L4, R3, R3, R1, L5, L4, L3, L4, R2, L5, R1, R2, R1, L3, R4, R3, R4, R3, R3, L4, L2, L4, L2, R1","57 (A3), 60 (C4), 60 (C4), 60 (C4), 64 (E4), 59 (B3), 57 (A3), 60 (C4), 60 (C4), 65 (F4), 60 (C4), 57 (A3), 52 (E3), 55 (G3), 60 (C4), 57 (A3), 62 (D4), 67 (G4), 60 (C4), 59 (B3), 64 (E4), 60 (C4), 65 (F4), 62 (D4), 62 (D4), 57 (A3), 52 (E3), 55 (G3), 59 (B3), 64 (E4)",0.517406,0.130952,0.448276,0.933333,0.062500,0.992058
1799551287-β-3,beta,1799551287,48,72,"R3, R3, L4, L4, R3, R2, R4, L5, L3, L2, R5, R4, L3, L4, R4, L1, L2, R2, R1, L5, R3, R2, R3, R4, L3, L5, R5, R3, L3, L4","62 (D4), 64 (E4), 60 (C4), 57 (A3), 60 (C4), 65 (F4), 64 (E4), 59 (B3), 52 (E3), 57 (A3), 60 (C4), 64 (E4), 60 (C4), 59 (B3), 62 (D4), 57 (A3), 60 (C4), 64 (E4), 60 (C4), 57 (A3), 62 (D4), 65 (F4), 62 (D4), 64 (E4), 59 (B3), 60 (C4), 60 (C4), 64 (E4), 59 (B3), 55 (G3)",0.528729,0.123512,0.448276,0.933333,0.071429,0.992058
1799551287-β-4,beta,1799551287,48,72,"R4, R2, R3, L5, R3, L5, R5, R3, R5, R4, R3, L5, L4, R1, R2, L3, R5, R5, L5, L3, L5, L4, L3, L2, R4, R5, L1, L3, L1, R4","62 (D4), 65 (F4), 60 (C4), 57 (A3), 60 (C4), 57 (A3), 62 (D4), 65 (F4), 69 (A4), 64 (E4), 60 (C4), 57 (A3), 55 (G3), 62 (D4), 64 (E4), 59 (B3), 62 (D4), 60 (C4), 57 (A3), 60 (C4), 57 (A3), 53 (F3), 50 (D3), 55 (G3), 64 (E4), 60 (C4), 57 (A3), 50 (D3), 53 (F3), 62 (D4)",0.495617,0.122024,0.413793,0.933333,0.050000,0.988493
1799551287-β-5,beta,1799551287,48,72,"R2, R3, L4, R1, L5, R1, L5, L3, L1, L3, L1, R2, R3, L3, L2, L3, R5, R4, R3, R5, R3, L1, R3, L3, L2, L4, R4, R5, L2, L5","62 (D4), 64 (E4), 57 (A3), 60 (C4), 59 (B3), 64 (E4), 59 (B3), 57 (A3), 55 (G3), 57 (A3), 59 (B3), 60 (C4), 62 (D4), 57 (A3), 53 (F3), 59 (B3), 64 (E4), 62 (D4), 64 (E4), 62 (D4), 64 (E4), 60 (C4), 62 (D4), 57 (A3), 55 (G3), 57 (A3), 60 (C4), 62 (D4), 59 (B3), 57 (A3)",0.512858,0.098214,0.448276,0.933333,0.083333,0.992058
1799551287-β-6,beta,1799551287,48,72,"R4, R2, L2, L3, L4, R4, L2, R2, L1, L3, L2, R4, R5, R4, R2, L3, L2, L1, L2, R3, L2, R3, R4, R2, R4, R3, L3, L2, R2, R1","64 (E4), 62 (D4), 60 (C4), 59 (B3), 57 (A3), 60 (C4), 59 (B3), 64 (E4), 57 (A3), 59 (B3), 57 (A3), 62 (D4), 60 (C4), 62 (D4), 64 (E4), 60 (C4), 59 (B3), 57 (A3), 59 (B3), 62 (D4), 57 (A3), 60 (C4), 62 (D4), 64 (E4), 67 (G4), 60 (C4), 60 (C4), 59 (B3), 62 (D4), 60 (C4)",0.485156,0.093750,0.413793,0.933333,0.090909,0.988493
1799551287-β-7,beta,1799551287,48,72,"R1, R2, L3, L5, R5, L3, L1, L2, R1, L2, L3, R1, R3, L2, R2, R4, L3, R3, R1, L5, L4, L2, L4, L2, L1, R3, L2, R1, R2, R3","62 (D4), 64 (E4), 60 (C4), 59 (B3), 62 (D4), 60 (C4), 59 (B3), 60 (C4), 64 (E4), 59 (B3), 57 (A3), 62 (D4), 64 (E4), 59 (B3), 60 (C4), 62 (D4), 57 (A3), 60 (C4), 62 (D4), 59 (B3), 52 (E3), 50 (D3), 52 (E3), 55 (G3), 57 (A3), 64 (E4), 60 (C4), 60 (C4), 62 (D4), 64 (E4)",0.496176,0.092262,0.482759,0.933333,0.066667,0.992058
1799551287-β-8,beta,1799551287,48,72,"R3, L3, R4, R4, L5, R2, L2, L3, L2, L3, R2, R4, R3, L5, L3, L4, L2, R2, L1, L2, L3, R2, R3, L2, R4, L1, L2, R2, R2, R4","62 (D4), 59 (B3), 60 (C4), 64 (E4), 60 (C4), 60 (C4), 57 (A3), 55 (G3), 50 (D3), 55 (G3), 60 (C4), 64 (E4), 60 (C4), 57 (A3), 60 (C4), 57 (A3), 60 (C4), 64 (E4), 59 (B3), 55 (G3), 60 (C4), 64 (E4), 60 (C4), 57 (A3), 62 (D4), 59 (B3), 60 (C4), 60 (C4), 65 (F4), 62 (D4)",0.506672,0.120536,0.482759,0.933333,0.062500,0.992058
1799551287-β-9,beta,1799551287,48,72,"R4, R2, R3, R2, L4, L4, R4, R5, L2, L1, R4, R5, R4, L2, L1, R5, L2, L1, L3, L2, R4, L1, L2, R2, L1, R1, L3, R3, R4, R5","62 (D4), 67 (G4), 64 (E4), 62 (D4), 59 (B3), 59 (B3), 60 (C4), 64 (E4), 60 (C4), 59 (B3), 60 (C4), 64 (E4), 62 (D4), 57 (A3), 60 (C4), 64 (E4), 59 (B3), 57 (A3), 52 (E3), 55 (G3), 60 (C4), 57 (A3), 60 (C4), 64 (E4), 59 (B3), 62 (D4), 60 (C4), 64 (E4), 62 (D4), 64 (E4)",0.504854,0.102679,0.482759,0.933333,0.062500,0.998741
1799551287-γ-1,gamma,1799551287,48,72,"L3, L5, L2, L4, R2, R5, L2, L2, R2, L4, L2, L4, R2, R5, L3, L5, R3, L4, R1, L2, R3, L4, R5, R3, L1, R5, R1, R1, L3, R4","55 (G3), 60 (C4), 57 (A3), 48 (C3), 64 (E4), 69 (A4), 53 (F3), 53 (F3), 65 (F4), 50 (D3), 60 (C4), 55 (G3), 65 (F4), 67 (G4), 48 (C3), 50 (D3), 62 (D4), 53 (F3), 71 (B4), 62 (D4), 72 (C5), 60 (C4), 62 (D4), 57 (A3), 57 (A3), 59 (B3), 69 (A4), 71 (B4), 62 (D4), 65 (F4)",0.707076,0.196429,0.586207,0.933333,0.240000,0.984328
1799551287-γ-2,gamma,1799551287,48,72,"R1, L4, L1, L4, L2, L5, L2, R4, L5, R1, L1, L3, L3, R5, L5, R3, L2, R3, R5, R3, L4, R1, R3, R1, L5, L5, R3, R5, L3, R4","65 (F4), 48 (C3), 53 (F3), 55 (G3), 62 (D4), 55 (G3), 59 (B3), 59 (B3), 52 (E3), 60 (C4), 57 (A3), 50 (D3), 55 (G3), 69 (A4), 50 (D3), 65 (F4), 57 (A3), 67 (G4), 62 (D4), 64 (E4), 59 (B3), 65 (F4), 60 (C4), 65 (F4), 53 (F3), 52 (E3), 57 (A3), 62 (D4), 59 (B3), 69 (A4)",0.714032,0.203869,0.551724,0.933333,0.272727,0.987445
1799551287-γ-3,gamma,1799551287,48,72,"R3, L5, L2, L2, R3, L2, R2, L4, R4, L2, R2, L5, L2, L5, L3, L5, L3, R5, R1, R5, L3, R3, L5, R5, R2, R5, R5, L1, L1, R5","60 (C4), 59 (B3), 62 (D4), 53 (F3), 69 (A4), 62 (D4), 60 (C4), 57 (A3), 57 (A3), 52 (E3), 64 (E4), 55 (G3), 52 (E3), 55 (G3), 59 (B3), 55 (G3), 50 (D3), 71 (B4), 64 (E4), 69 (A4), 59 (B3), 64 (E4), 53 (F3), 65 (F4), 71 (B4), 67 (G4), 69 (A4), 60 (C4), 59 (B3), 71 (B4)",0.694334,0.212798,0.551724,0.933333,0.272727,0.987445
1799551287-γ-4,gamma,1799551287,48,72,"L2, L2, R4, L5, L2, L5, R4, L2, L4, R5, L1, R4, R5, L3, R1, R2, L5, L2, L4, R5, L4, R1, R4, R5, R2, L2, R2, L4, L2, R4","53 (F3), 48 (C3), 60 (C4), 57 (A3), 48 (C3), 57 (A3), 57 (A3), 52 (E3), 57 (A3), 67 (G4), 55 (G3), 62 (D4), 67 (G4), 57 (A3), 64 (E4), 57 (A3), 59 (B3), 52 (E3), 53 (F3), 62 (D4), 62 (D4), 65 (F4), 67 (G4), 71 (B4), 65 (F4), 52 (E3), 71 (B4), 62 (D4), 60 (C4), 65 (F4)",0.714718,0.226190,0.586207,0.933333,0.250000,0.984328
1799551287-γ-5,gamma,1799551287,48,72,"L1, L4, R1, R2, R4, R3, R5, L5, R2, L3, R4, L1, R1, R5, L1, L5, R1, L3, L1, R2, R4, R1, L2, R3, L5, L3, L2, R1, L4, R5","52 (E3), 59 (B3), 72 (C5), 64 (E4), 67 (G4), 62 (D4), 72 (C5), 55 (G3), 64 (E4), 59 (B3), 71 (B4), 57 (A3), 65 (F4), 69 (A4), 52 (E3), 53 (F3), 60 (C4), 52 (E3), 62 (D4), 62 (D4), 57 (A3), 64 (E4), 53 (F3), 57 (A3), 60 (C4), 53 (F3), 60 (C4), 60 (C4), 59 (B3), 64 (E4)",0.683600,0.227679,0.586207,0.933333,0.285714,0.984328
1799551287-γ-6,gamma,1799551287,48,72,"L2, R2, R4, L5, L1, L5, R4, L3, R2, R5, L2, L3, R2, R3, L1, R5, R4, R3, L5, R1, L1, R4, L4, L2, L4, R5, R3, R5, R3, L2","62 (D4), 57 (A3), 62 (D4), 55 (G3), 48 (C3), 55 (G3), 62 (D4), 59 (B3), 59 (B3), 69 (A4), 50 (D3), 60 (C4), 59 (B3), 69 (A4), 53 (F3), 67 (G4), 65 (F4), 60 (C4), 59 (B3), 69 (A4), 55 (G3), 60 (C4), 52 (E3), 59 (B3), 60 (C4), 62 (D4), 65 (F4), 69 (A4), 62 (D4), 55 (G3)",0.690409,0.235119,0.551724,0.933333,0.272727,0.987445
1799551287-γ-7,gamma,1799551287,48,72,"R3, R4, L4, R2, L1, R5, R2, L5, L3, R5, L5, L3, L4, R2, R2, L1, R3, L1, L3, L5, R5, R1, R3, L1, R3, R1, R4, L5, L2, R3","69 (A4), 72 (C5), 57 (A3), 71 (B4), 48 (C3), 64 (E4), 72 (C5), 50 (D3), 60 (C4), 71 (B4), 52 (E3), 62 (D4), 57 (A3), 67 (G4), 62 (D4), 55 (G3), 57 (A3), 62 (D4), 55 (G3), 53 (F3), 62 (D4), 67 (G4), 57 (A3), 48 (C3), 65 (F4), 67 (G4), 59 (B3), 57 (A3), 60 (C4), 57 (A3)",0.671223,0.227679,0.551724,0.933333,0.240000,0.995176
1799551287-γ-8,gamma,1799551287,48,72,"R4, R2, R4, R2, L4, R5, L2, R3, L4, L1, L5, R1, R5, L2, R2, L3, L5, R5, L2, L1, L3, L5, R3, L1, L2, L4, R5, R4, R2, L3","71 (B4), 65 (F4), 57 (A3), 64 (E4), 53 (F3), 72 (C5), 57 (A3), 67 (G4), 62 (D4), 60 (C4), 52 (E3), 59 (B3), 67 (G4), 55 (G3), 59 (B3), 59 (B3), 53 (F3), 57 (A3), 55 (G3), 60 (C4), 55 (G3), 50 (D3), 67 (G4), 52 (E3), 50 (D3), 52 (E3), 65 (F4), 57 (A3), 62 (D4), 53 (F3)",0.683600,0.209821,0.517241,0.933333,0.260870,0.995176
1799551287-γ-9,gamma,1799551287,48,72,"R2, L5, R4, L1, L5, R1, R3, L4, L3, R3, R2, R1, R4, L5, R2, R4, L1, L3, L1, R2, R4, R1, L4, L4, L3, R3, L5, R5, R3, L5","62 (D4), 60 (C4), 72 (C5), 53 (F3), 55 (G3), 64 (E4), 57 (A3), 60 (C4), 55 (G3), 57 (A3), 60 (C4), 69 (A4), 60 (C4), 53 (F3), 59 (B3), 62 (D4), 62 (D4), 55 (G3), 50 (D3), 59 (B3), 64 (E4), 60 (C4), 52 (E3), 59 (B3), 62 (D4), 64 (E4), 53 (F3), 65 (F4), 64 (E4), 57 (A3)",0.712436,0.200893,0.517241,0.933333,0.260870,0.995176
